0;10000;20000;30000;40000;50000;60000;70000;80000;90000;100000;110000;120000;130000;140000;150000;160000;170000;180000;190000;200000;210000;220000;230000;240000;250000;260000;270000;280000;290000;300000;310000;320000;330000;340000;350000;360000;370000;380000;390000;400000;410000;420000;430000;440000;450000;460000;470000;480000;490000;500000;510000;520000;530000;540000;550000;560000;570000;580000;590000;600000;610000;620000;630000;640000;650000;660000;670000;680000;690000;700000;710000;720000;730000;740000;750000;760000;770000;780000;790000;800000;810000;820000;830000;840000;850000;860000;870000;880000;890000;900000;910000;920000;930000;940000;950000;960000;970000;980000;990000;1000000;1010000;1020000;1030000;1040000;1050000;1060000;1070000;1080000;1090000;1100000;1110000;1120000;1130000;1140000;1150000;1160000;1170000;1180000;1190000;1200000;1210000;1220000;1230000;1240000;1250000;1260000;1270000;1280000;1290000;1300000;1310000;1320000;1330000;1340000;1350000;1360000;1370000;1380000;1390000;1400000;1410000;1420000;1430000;1440000;1450000;1460000;1470000;1480000;1490000;1500000;1510000;1520000;1530000;1540000;1550000;1560000;1570000;1580000;1590000;1600000;1610000;1620000;1630000;1640000;1650000;1660000;1670000;1680000;1690000;1700000;1710000;1720000;1730000;1740000;1750000;1760000;1770000;1780000;1790000;1800000;1810000;1820000;1830000;1840000;1850000;1860000;1870000;1880000;1890000;1900000;1910000;1920000;1930000;1940000;1950000;1960000;1970000;1980000;1990000;2000000
17440,2;12362,85;10501,2;9609;9020,45;8432,65;8083,95;7827,85;7536,5;7320,35;7269,15;7195,3;7057,2;7018,2;6995,35;6889,85;6854,05;6825,2;6800,5;6713,6;6710,45;6632,6;6632,6;6546,5;6512,6;6512,6;6493,1;6418,5;6418,5;6378,2;6367,05;6357,75;6288,7;6288,7;6246,15;6217,2;6207,6;6202,9;6172;6172;6172;6172;6156,75;6156,75;6130,6;6102,7;6102,7;6102,7;6102,7;6102,7;6079,55;6078,3;6078,3;6065,1;6029,6;6029,6;6029,6;6016,65;6016,4;6016,4;6016,4;6016,4;6016,4;6016,4;6016,4;5957,8;5928,15;5924,45;5924,45;5880,95;5880,95;5852,8;5839;5839;5839;5839;5821,5;5821,5;5813,05;5813,05;5813,05;5809,4;5809,4;5809,4;5809,4;5792,5;5792,5;5792,5;5765,45;5765,45;5765,45;5765,45;5765,45;5765,45;5765,45;5755,15;5755,15;5755,15;5755,15;5755,15;5755,15;5755,15;5755,15;5728,95;5728,95;5728,95;5728,95;5728,95;5724,05;5724,05;5722,5;5722,5;5722,5;5722,5;5721,4;5703,15;5703,15;5692,6;5692,6;5692,6;5692,6;5691,3;5667,25;5667,25;5667,25;5667,25;5667,25;5667,25;5667,25;5667,25;5667,25;5665;5665;5665;5665;5665;5665;5665;5665;5665;5665;5665;5665;5665;5665;5665;5643,95;5643,95;5643,95;5633,6;5623,9;5623,9;5623,9;5623,9;5623,9;5623,9;5623,9;5623,9;5623,9;5623,9;5623,9;5623,9;5623,9;5623,9;5623,9;5623,9;5623,9;5623,9;5623,9;5623,9;5623,8;5623,8;5623,8;5623,8;5604,4;5604,4;5604,4;5604,4;5604,4;5604,4;5595,45;5595,45;5595,45;5595,45;5595,45;5595,45;5595,45;5595,45;5595,45;5595,45;5595,45;5595,45;5595,45;5595,45;5595,45;5578,05;5578,05;5578,05;5554,3;5535,75;5535,75
1400,940241;894,2207376;741,5188197;638,6701026;477,9106062;563,144766;723,9560398;579,0649597;479,6642055;523,034442;516,7183251;493,0006187;547,3207104;582,5884997;559,945379;522,3164055;523,0231807;491,6283759;493,9342568;444,5502671;448,0195838;406,8786551;406,8786551;380,2978438;351,6788876;351,6788876;359,6286835;382,8881691;382,8881691;308,297843;316,828104;311,356528;357,6094378;357,6094378;335,8287175;317,550248;315,8649078;313,8684278;297,7861649;297,7861649;297,7861649;297,7861649;306,3235014;306,3235014;293,9947959;287,1438838;287,1438838;287,1438838;287,1438838;287,1438838;289,5224473;290,3089906;290,3089906;288,2876862;249,2906737;249,2906737;249,2906737;231,8845133;231,6364393;231,6364393;231,6364393;231,6364393;231,6364393;231,6364393;231,6364393;271,9241806;264,1946773;262,0787048;262,0787048;334,7242858;334,7242858;337,8262275;335,1796533;335,1796533;335,1796533;335,1796533;335,9387593;335,9387593;334,5972915;334,5972915;334,5972915;333,1293142;333,1293142;333,1293142;333,1293142;327,3955559;327,3955559;327,3955559;348,9504943;348,9504943;348,9504943;348,9504943;348,9504943;348,9504943;348,9504943;339,5950935;339,5950935;339,5950935;339,5950935;339,5950935;339,5950935;339,5950935;339,5950935;320,5486664;320,5486664;320,5486664;320,5486664;320,5486664;320,8313381;320,8313381;318,6050062;318,6050062;318,6050062;318,6050062;317,7855252;333,9353643;333,9353643;321,6856229;321,6856229;321,6856229;321,6856229;319,7926047;335,1976842;335,1976842;335,1976842;335,1976842;335,1976842;335,1976842;335,1976842;335,1976842;335,1976842;334,4694306;334,4694306;334,4694306;334,4694306;334,4694306;334,4694306;334,4694306;334,4694306;334,4694306;334,4694306;334,4694306;334,4694306;334,4694306;334,4694306;334,4694306;329,2027453;329,2027453;329,2027453;338,9394341;337,2107501;337,2107501;337,2107501;337,2107501;337,2107501;337,2107501;337,2107501;337,2107501;337,2107501;337,2107501;337,2107501;337,2107501;337,2107501;337,2107501;337,2107501;337,2107501;337,2107501;337,2107501;337,2107501;337,2107501;337,0561674;337,0561674;337,0561674;337,0561674;327,4274576;327,4274576;327,4274576;327,4274576;327,4274576;327,4274576;314,1021291;314,1021291;314,1021291;314,1021291;314,1021291;314,1021291;314,1021291;314,1021291;314,1021291;314,1021291;314,1021291;314,1021291;314,1021291;314,1021291;314,1021291;297,0596699;297,0596699;297,0596699;303,6758305;302,8515932;302,8515932
29589;23077;20595;19253;18448;17918;17574;17574;16969;15935;15935;15289;14671;14671;14671;14257;14180;13867;13867;13867;13867;13529;12975;12975;12374;12214;12214;12214;11920;11920;11920;11920;11920;11790;11790;11790;10246;10246;10246;10246;10246;10246;10246;10246;10246;10246;9995;9995;9995;9995;9130;9130;9130;9130;9130;9130;8904;8904;8904;8904;8904;8904;8904;8904;8904;8904;8904;8904;8904;8904;8904;8904;8904;8583;8583;8583;8468;8468;8468;8468;8468;8468;8468;8468;8468;8468;8162;8162;8162;8162;8162;8162;8162;8162;8162;8091;8091;8091;8091;8091;8091;8091;8091;8091;8091;8091;8091;8091;8091;7845;7845;7845;7845;7845;7814;7814;7814;7814;7814;7814;7814;7814;7814;7814;7814;7814;7814;7814;7814;7814;7814;7814;7814;7814;7814;7814;7814;7814;7814;7814;7814;7814;7814;7814;7814;7814;7459;7459;7459;7459;7459;7459;7459;7459;7459;7459;7459;7459;7459;7459;7459;7459;7192;7192;7192;7192;7192;7192;7192;7192;7192;7192;7192;7192;7192;7192;7192;7192;7192;7192;7192;7192;7192;7192;7192;7192;7176;7176;7176;7176;7176;7176;7176;7176;7176;7176;7176;7176;7176;7176;7176
27869;23374;22201;20604;18203;18203;18203;16194;15394;15394;14445;14165;14165;14165;13839;13839;13839;13587;13587;13240;13240;12123;11819;11819;11819;10780;10707;10707;10707;10601;10601;10601;10601;10601;10601;10601;10601;10601;10601;10601;10601;10601;10207;9905;9651;9651;9651;9651;9651;9651;9651;9651;9651;9651;9651;9651;9651;9651;9651;9651;9651;9651;9651;9612;9612;9612;9612;9380;9132;9132;9132;9132;9132;9132;9132;9132;9132;9132;9132;9132;9132;9132;9132;9132;9132;9132;9132;9132;9132;9132;9132;9132;9132;8620;8620;8620;8620;8620;8620;8620;8620;8620;8620;8620;8620;8620;8620;8620;8620;8620;8620;8620;8620;8620;8620;8620;8620;8620;8620;8620;8620;8620;8620;8620;8620;8620;8620;8620;8620;8620;8620;8620;8620;8620;8620;8620;8620;8620;8620;8620;8620;8620;8620;8620;8620;8620;8620;8620;8620;8620;8620;8620;8620;8620;8620;8620;8620;8620;8620;8620;8620;8620;8620;8620;8620;8620;8620;8620;8620;8620;8620;8620;8620;8620;8620;8620;8620;8221;8221;8221;8221;8221;8221;8221;8221;8221;8221;8221;8221;8221;8221;8221;8221;8221;8221;8221;8221;8221;8221;8221;8221
28739;28739;21933;20509;18809;17538;17538;15388;15388;15388;15388;13452;13452;13452;12268;12053;12053;12053;12053;12053;12053;12053;11435;11435;11435;11435;11028;11028;11028;10433;10433;10433;10433;10433;10433;10433;10433;10433;10433;10433;10138;10138;10138;10138;10138;10138;10138;10138;10138;10138;10098;10098;10098;10098;8895;8895;8895;8895;8895;8895;8895;8895;8895;8895;8344;8344;8344;8344;8344;8344;8344;8344;8344;8344;8344;8344;8344;8344;8344;8344;8344;8344;8344;8344;8344;8344;8344;8344;8344;8344;8344;8344;8344;8344;8344;8344;8344;8344;8344;8344;8344;8344;8344;8344;8344;8259;8259;8259;8259;8259;8259;8259;7850;7850;7850;7850;7850;7850;7850;7850;7850;7850;7850;7850;7850;7850;7850;7850;7850;7850;7850;7850;7850;7850;7850;7850;7850;7850;7801;7801;7801;7801;7801;7801;7801;7801;7801;7801;7801;7801;7801;7801;7801;7801;7690;7690;7690;7690;7690;7690;7690;7690;7690;7690;7690;7690;7690;7690;7690;7690;7690;7690;7690;7690;7690;7690;7690;7640;7640;7640;7640;7640;7640;7640;7640;7640;7640;7640;7640;7640;7640;7640;7640;7640;7640;7640;7640;7640;7640;7640;7640
28712;24333;23604;19360;17417;17417;16639;15768;15768;15768;15655;15371;14850;13960;13960;12409;12409;12409;12409;12308;12308;12308;11731;11477;11477;11477;11477;11477;11140;10839;10839;10839;10839;10839;10839;10839;10839;10839;10839;10839;10839;10839;10839;10671;10532;10532;10104;9598;9598;9598;9598;9598;9598;7990;7990;7990;7990;7990;7990;7990;7990;7990;7990;7990;7990;7990;7990;7990;7990;7990;7990;7990;7990;7990;7990;7990;7990;7990;7990;7990;7990;7990;7990;7990;7990;7990;7990;7990;7990;7990;7990;7990;7990;7990;7990;7990;7990;7990;7990;7990;7990;7990;7990;7791;7791;7791;7791;7791;7791;7791;7791;7791;7791;7791;7791;7791;7791;7791;7791;7791;7791;7791;7791;7791;7791;7791;7791;7791;7791;7791;7791;7791;7791;7791;7791;7791;7791;7791;7791;7791;7791;7791;7791;7791;7791;7791;7791;7791;7791;7791;7791;7791;7791;7791;7791;7791;7791;7791;7791;7791;7791;7791;7791;7791;7791;7791;7791;7791;7791;7791;7791;7791;7791;7791;7791;7791;7791;7791;7791;7791;7474;7474;7474;7474;7474;7474;7474;7474;7474;7474;7474;7474;7474;7474;7474;7474;7474;7474;7474;7474;7474
27135;27135;22430;22430;19623;19208;18789;18789;18350;18350;15380;15380;14762;14379;13961;13961;13961;13961;12864;12864;12607;12607;11694;11694;11694;11606;10896;10896;10896;10896;10492;10492;10492;10492;9868;9868;9868;9868;9868;9868;9868;9868;9868;9868;9868;9868;9868;9868;9868;9868;9868;9868;9868;9868;9868;9868;9868;9868;9868;9868;9868;9812;9812;9715;9313;9313;9313;9313;9313;9313;9036;9036;9036;9036;9036;9036;9036;9036;9036;9036;9036;9036;9036;9036;9036;9036;8360;8360;8360;8360;8360;8360;8360;8267;8267;8267;8174;8174;8174;8174;8174;8174;8174;8174;8174;8174;8174;8174;8174;8174;8174;8174;8174;8174;8174;8174;8174;8174;8174;8174;8174;8144;8144;8144;8144;8144;8144;8144;8144;8144;8144;8144;8144;8144;8144;8144;8144;8144;8144;8144;8144;8144;8144;8144;8144;8144;8144;8144;8144;8144;8144;8144;8144;8144;8144;8144;8144;8144;8144;8144;8144;8144;8144;8144;8144;8144;8144;8144;8144;8144;8144;8119;8119;8119;8119;8119;8119;8119;8119;8119;8119;8119;8119;8119;8119;8119;8119;8109;8109;8109;8109;8109;8109;8109;8109;8109;8109;8109;8109;8109;8109
27883;23709;21278;20707;19927;19927;19925;16654;16654;16654;16384;14242;14025;14025;12961;12961;12652;11409;11409;11409;11409;11409;11409;10670;10670;10670;10670;10670;10670;10471;10471;10471;9486;9486;9486;9486;9486;9486;9486;9486;9486;9486;9486;9486;9486;9486;9486;9486;9217;9217;9217;9217;9217;9217;9119;9119;9119;9119;9119;9119;9119;9119;9119;9119;9119;9119;9119;9119;9119;9119;9119;9119;9119;9119;8822;8822;8822;8822;8822;8822;8822;8822;8822;8822;8822;8822;8622;8622;8622;8622;8602;8602;8602;8602;8602;8602;8269;8269;8269;8269;8269;8269;8269;8269;8269;8269;8269;8269;8269;8269;8269;8269;8269;8269;8269;8269;8269;8269;8269;8269;8269;8269;8269;8269;8269;8269;8269;8269;8269;8269;8269;8269;8269;8269;8269;8269;8269;8269;8269;8269;8269;8269;8269;8269;8269;8269;8269;8269;8155;8155;8155;8155;8155;8155;8155;8155;8150;8150;8150;8150;7991;7991;7991;7991;7991;7991;7991;7991;7991;7991;7991;7991;7991;7991;7991;7991;7991;7991;7991;7991;7991;7813;7813;7813;7813;7813;7600;7600;7600;7600;7600;7600;7600;7600;7600;7600;7600;7407;7407;7407;7407
29164;24753;22570;20059;18988;17407;17407;16384;16384;15174;13917;13917;13884;12646;12646;12646;12646;12646;12646;12646;12646;11188;11188;11188;11188;11188;11188;11188;11188;11188;11188;10830;10830;10830;10830;10830;10830;10830;10830;10830;10830;10384;10384;10384;10384;10220;10220;10082;10082;10082;10082;10082;10082;10082;9947;9947;9947;9947;9786;9786;9786;9786;9786;9786;9786;9786;9786;9786;9786;9786;9333;9333;9333;9323;9323;9323;9323;9323;9323;9323;9323;9323;9323;9323;9323;9323;9323;9323;9323;9195;8697;8697;8697;8697;8697;8697;8697;8697;8697;8697;8697;8697;8697;8697;8697;8697;8491;8491;8491;8105;8105;8105;8105;8105;8105;8105;8105;8105;8105;8105;8105;8105;8105;8105;8105;8105;8105;8105;8105;8105;8105;8105;8105;8105;8105;8105;8105;8105;8105;8105;8105;8105;8105;8105;8048;8048;8048;8048;8048;8048;8048;8048;8048;8048;8048;8048;8048;8048;8048;8048;8048;8048;8048;8048;8048;8048;8048;8048;8048;8048;8048;8048;8048;8048;8048;8048;8048;8048;8048;8048;8048;8048;8048;8048;8048;8048;8048;8048;8048;8048;8048;8048;8048;8048;8048;8048;8048;8048;8048;8048;8048
29892;23681;23681;20522;19851;19715;18820;16837;16514;15353;15029;15029;15029;13784;13670;13560;12708;12585;12585;12585;12585;12585;12585;12585;12428;11021;10822;10822;10822;10822;10822;10189;10189;10189;10189;10189;10189;10189;9710;9710;9710;9710;9710;9710;9710;9710;9710;9710;9710;9710;9710;9710;9710;9710;9710;9710;9710;9710;9710;9710;9710;9710;9710;9595;9595;9358;8651;8651;8511;8511;8511;8511;8511;8511;8511;8480;8480;8480;8480;8480;8480;8480;8480;8480;8480;8352;8352;8352;8352;8352;8352;8352;8352;8352;8352;8352;8011;8011;8011;8011;8011;8011;8011;8011;8011;8011;8011;8011;8011;8011;8011;8011;8011;8011;8011;8011;8011;8011;8011;8011;8011;8011;8011;7834;7834;7834;7834;7834;7834;7834;7834;7834;7834;7834;7834;7834;7834;7834;7834;7834;7834;7834;7834;7834;7834;7834;7834;7834;7834;7834;7834;7834;7834;7834;7834;7834;7834;7834;7834;7834;7834;7834;7834;7834;7834;7834;7834;7834;7834;7834;7834;7834;7834;7834;7834;7834;7834;7834;7834;7834;7834;7834;7834;7834;7772;7772;7772;7772;7772;7772;7772;7772;7772;7772;7772;7772;7772;7331;7331;7331;7331
